procès 162957,NOUN
métier 161411,NOUN
défaut 160320,NOUN
belles 152016,ADJECTIVE
devoir 149963,NOUN,HAS_EXAMPLE
séjour 149734,NOUN
certes 150152,ADVERB
chargé 146881,ADJECTIVE
volume 146768,NOUN
civile 145554,ADJECTIVE
francs 145298,ADJECTIVE
énorme 144285,ADJECTIVE
aspect 144237,NOUN
donnée 143515,NOUN
précis 143026,ADJECTIVE
sauver 142080,VERB,HAS_EXAMPLE
tenter 142230,VERB,HAS_EXAMPLE
baiser 142027,NOUN
épaule 141644,NOUN
cinéma 141220,NOUN,HAS_EXAMPLE
profit 140671,NOUN,HAS_EXAMPLE
client 139890,NOUN,HAS_EXAMPLE
samedi 139450,NOUN
serais 138513,VERB
courir 136939,VERB,HAS_EXAMPLE
chaise 136832,NOUN
touche 136427,NOUN
course 136413,NOUN
cacher 135284,ADJECTIVE
nouvel 134365,ADJECTIVE,HAS_EXAMPLE
marque 134290,NOUN
examen 133428,NOUN,HAS_EXAMPLE
détail 130908,NOUN
chasse 129544,NOUN,HAS_EXAMPLE
menace 129263,NOUN
normal 128739,ADJECTIVE
partis 128488,VERB
sommet 128236,NOUN,HAS_EXAMPLE
relève 128345,NOUN
pointe 127281,NOUN
humeur 127143,NOUN
patron 126268,NOUN,HAS_EXAMPLE
bateau 126085,ADJECTIVE
avocat 126080,NOUN
gloire 125368,NOUN,HAS_EXAMPLE
debout 125119,ADVERB
envoyé 125102,NOUN
saisir 124857,VERB
chaîne 124337,NOUN,HAS_EXAMPLE
arrêté 123844,ADJECTIVE
malade 123756,ADJECTIVE,HAS_EXAMPLE
totale 124132,ADJECTIVE
offrir 122417,VERB,HAS_EXAMPLE
charme 122023,NOUN,HAS_EXAMPLE
minute 119717,NOUN
réelle 119399,ADJECTIVE
viande 119355,NOUN
destin 119141,NOUN
animal 118516,ADJECTIVE
portée 117512,NOUN,HAS_EXAMPLE
impact 117072,NOUN
ennemi 116473,ADJECTIVE,HAS_EXAMPLE
contre 116173,NOUN
amitié 116130,NOUN
grosse 114262,ADJECTIVE
revoir 113626,VERB
change 113818,NOUN,HAS_EXAMPLE
divers 112266,ADJECTIVE
miroir 111768,NOUN
limite 110834,ADJECTIVE,HAS_EXAMPLE
séance 110764,NOUN
traité 110954,NOUN
cercle 110463,NOUN
soumis 109326,ADJECTIVE
nation 109024,NOUN
retard 109031,NOUN
tenant 107986,NOUN,HAS_EXAMPLE
pousse 108229,NOUN
avance 107962,NOUN,HAS_EXAMPLE
canapé 107485,NOUN
alcool 107141,NOUN
firent 106114,VERB
locale 105811,ADJECTIVE
pareil 104963,ADJECTIVE,HAS_EXAMPLE
poésie 104763,NOUN
légère 104076,ADJECTIVE
prêtre 102780,NOUN
direct 102750,ADJECTIVE
lancer 102771,NOUN
estime 103140,NOUN,HAS_EXAMPLE
église 101574,NOUN
courte 100388,ADJECTIVE
accent 100327,NOUN,HAS_EXAMPLE
décret 99801,NOUN
soupir 99581,NOUN
vallée 99881,NOUN
fameux 99384,ADJECTIVE,HAS_EXAMPLE
établi 99451,ADJECTIVE
obligé 98458,ADJECTIVE
crédit 98031,NOUN,HAS_EXAMPLE
empire 97256,NOUN
assise 96806,ADJECTIVE
former 96255,VERB
privée 96505,ADJECTIVE
témoin 96854,NOUN
blancs 95433,ADJECTIVE
tendre 94728,ADJECTIVE
froide 94481,ADJECTIVE
vagues 93545,ADJECTIVE
office 93370,NOUN,HAS_EXAMPLE
trajet 92781,NOUN
seules 93060,ADJECTIVE
temple 92558,NOUN,HAS_EXAMPLE
épouse 92341,NOUN
allant 92163,ADJECTIVE
bouger 92342,VERB
talent 92077,NOUN,OBSOLETE
stress 91694,NOUN
prénom 90873,NOUN,HAS_EXAMPLE
locaux 90678,ADJECTIVE
prière 90152,NOUN
fidèle 89608,ADJECTIVE,HAS_EXAMPLE
perdue 88889,ADJECTIVE
venant 88861,ADJECTIVE
réduit 88458,NOUN
diable 88350,ADVERB,HAS_EXAMPLE
solide 88322,ADJECTIVE
revenu 87922,NOUN,HAS_EXAMPLE
banque 86801,NOUN
claire 86627,ADJECTIVE
moteur 86698,ADJECTIVE
placer 86121,VERB
calcul 85989,NOUN,HAS_EXAMPLE
quitte 85010,ADJECTIVE
occupé 84979,ADJECTIVE,HAS_EXAMPLE
intime 84712,ADJECTIVE
connue 84532,ADJECTIVE
fleuve 83966,NOUN,HAS_EXAMPLE
vivant 83543,ADJECTIVE,HAS_EXAMPLE
désert 83743,ADJECTIVE
actuel 82680,ADJECTIVE
parfum 82666,NOUN,HAS_EXAMPLE
écoute 82087,NOUN
douche 81961,NOUN
cadeau 81398,NOUN
libres 80381,ADJECTIVE
couper 79635,VERB,HAS_EXAMPLE
mépris 79672,NOUN
boulot 79326,NOUN,HAS_EXAMPLE
royale 79256,ADJECTIVE
climat 79225,NOUN
romans 79074,ADJECTIVE
quelle 78667,ADJECTIVE,HAS_EXAMPLE
dessin 78654,NOUN,HAS_EXAMPLE
mienne 78030,ADJECTIVE
assuré 77595,ADJECTIVE
fortes 77439,ADJECTIVE
