pluie 146883,NOUN,HAS_EXAMPLE
sucre 146690,NOUN
huile 146544,NOUN
venue 146155,NOUN
frais 145305,ADJECTIVE,HAS_EXAMPLE
héros 145287,NOUN,HAS_EXAMPLE
rares 145448,ADJECTIVE,RARE
basse 144953,ADJECTIVE
musée 145238,NOUN,HAS_EXAMPLE
jeter 144069,VERB,HAS_EXAMPLE
lever 143461,NOUN
léger 144023,ADJECTIVE
étape 141242,NOUN
tiers 141070,ADJECTIVE
crime 140343,NOUN,HAS_EXAMPLE
vertu 139059,NOUN
arbre 138129,NOUN
délai 136760,NOUN,HAS_EXAMPLE
haine 135154,NOUN
neige 134189,NOUN,HAS_EXAMPLE
prête 132565,ADJECTIVE
phase 131699,NOUN
boire 129666,VERB
plats 129142,ADJECTIVE
oncle 129096,NOUN,HAS_EXAMPLE
privé 128261,ADJECTIVE
longs 127331,ADJECTIVE
civil 127054,ADJECTIVE
chute 125854,NOUN,HAS_EXAMPLE
vague 125788,ADJECTIVE
tombe 125780,NOUN
morts 125028,ADJECTIVE
issue 123917,ADJECTIVE
degré 123511,NOUN
local 122622,ADJECTIVE
écart 121717,NOUN,HAS_EXAMPLE
sable 122086,NOUN,HAS_EXAMPLE
serai 121381,VERB
repos 120781,NOUN
règne 120488,NOUN
génie 118861,NOUN
plans 118177,ADJECTIVE
lundi 117417,NOUN
sport 116923,NOUN
porté 117135,ADJECTIVE,HAS_EXAMPLE
aimer 115613,VERB,HAS_EXAMPLE
échec 113338,NOUN,HAS_EXAMPLE
mener 113033,VERB,HAS_EXAMPLE
chère 112512,ADJECTIVE
guide 112620,NOUN
souci 112475,NOUN,HAS_EXAMPLE
glace 111988,NOUN
cesse 112118,NOUN
agent 111252,NOUN
bande 110565,NOUN,HAS_EXAMPLE
angle 109522,NOUN,HAS_EXAMPLE
tente 108886,NOUN
dîner 107666,NOUN
débat 107921,NOUN
jolie 107406,ADJECTIVE
danse 107655,NOUN
folie 106820,NOUN
refus 107203,NOUN,HAS_EXAMPLE
seuil 106819,NOUN,HAS_EXAMPLE
morte 106553,ADJECTIVE
digne 106166,ADJECTIVE,HAS_EXAMPLE
assis 104894,ADJECTIVE
avion 104168,NOUN,HAS_EXAMPLE
époux 104038,NOUN
queue 103847,NOUN
juger 102544,VERB,HAS_EXAMPLE
magie 101836,NOUN
thème 101968,NOUN,HAS_EXAMPLE
dépit 101334,NOUN
gérer 100332,VERB,HAS_EXAMPLE
trace 100325,NOUN
élevé 100312,ADJECTIVE,HAS_EXAMPLE
appui 100674,NOUN
fruit 99805,NOUN
lourd 99539,ADJECTIVE,HAS_EXAMPLE
piste 99195,NOUN,HAS_EXAMPLE
futur 99766,ADJECTIVE
tenue 98874,NOUN
moral 98260,ADJECTIVE,HAS_EXAMPLE
quête 97422,NOUN
bière 97188,NOUN,HAS_EXAMPLE
