arrivée 192676,NOUN,HAS_EXAMPLE
surface 191125,NOUN
auteurs 190936,NOUN,PLURAL
maisons 190700,NOUN,PLURAL
siècles 190352,NOUN,PLURAL
projets 190021,NOUN,PLURAL
anciens 188475,ADJECTIVE
acteurs 188827,NOUN,PLURAL
recours 186565,NOUN
passait 185835,VERB,3PS,INFLECTED_FORM
portait 185387,VERB,3PS,INFLECTED_FORM
rentrer 185934,VERB,HAS_EXAMPLE
journal 183970,ADJECTIVE
courage 183697,INTERJECTION
vitesse 183664,NOUN,HAS_EXAMPLE
pouvons 183543,VERB
publics 181708,NOUN,PLURAL
produit 181339,NOUN
passant 181115,ADJECTIVE
dossier 180964,ADJECTIVE
hauteur 181598,NOUN,HAS_EXAMPLE
défense 180232,NOUN,HAS_EXAMPLE
revient 176584,VERB,3PS,INFLECTED_FORM
donnait 176322,VERB,3PS,INFLECTED_FORM
combien 175547,ADVERB,HAS_EXAMPLE
passion 175292,NOUN,HAS_EXAMPLE
clients 174471,NOUN,PLURAL
détails 174286,NOUN,PLURAL
appeler 174253,VERB,HAS_EXAMPLE
docteur 174523,NOUN
risques 173286,NOUN,PLURAL
essayer 172291,VERB,HAS_EXAMPLE,INF
oreille 170890,NOUN
tourner 170468,VERB,HAS_EXAMPLE
disparu 170456,ADJECTIVE
prenant 169639,ADJECTIVE
limites 170030,NOUN,PLURAL
profond 170392,ADJECTIVE,HAS_EXAMPLE
contenu 169386,NOUN
opinion 169060,NOUN
longues 168754,ADJECTIVE
édition 168376,NOUN,HAS_EXAMPLE
secteur 166971,NOUN,HAS_EXAMPLE
élément 165693,NOUN
parlait 165515,VERB,3PS,INFLECTED_FORM
devenue 165688,PARTICIPLE
assurer 164311,VERB,HAS_EXAMPLE
échange 164562,NOUN
portant 163046,ADJECTIVE
efforts 161208,NOUN,PLURAL
accueil 161139,NOUN
entière 161513,ADJECTIVE
soutien 160992,NOUN
sources 159226,NOUN,PLURAL
célèbre 158881,ADJECTIVE
univers 158075,NOUN
émotion 156202,NOUN
comptes 155207,NOUN,PLURAL
fortune 152475,NOUN,HAS_EXAMPLE
échelle 153461,NOUN
victime 152834,NOUN
possède 151787,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
couloir 150017,NOUN
regards 149637,NOUN,PLURAL
choisir 148201,VERB,HAS_EXAMPLE
suppose 148187,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
enfance 147721,NOUN
naturel 147930,ADJECTIVE
atteint 145157,PARTICIPLE
toucher 145408,NOUN
royaume 144729,NOUN
murmura 144901,VERB,3PS,INFLECTED_FORM
pensait 144146,VERB,3PS,INFLECTED_FORM
prenait 143202,VERB,3PS,INFLECTED_FORM
suivant 143178,ADJECTIVE
commune 142806,ADJECTIVE
arrêter 140573,VERB
sérieux 140067,ADJECTIVE
simples 138812,ADJECTIVE
progrès 138711,NOUN
ajouter 139630,VERB
donnant 138428,PARTICIPLE
enquête 138415,NOUN
extrême 136932,ADJECTIVE
pensais 135986,VERB
attente 136349,NOUN
machine 135084,NOUN,HAS_EXAMPLE
chevaux 134415,NOUN,PLURAL
veulent 134961,VERB
montant 135247,ADJECTIVE
utilisé 133879,ADJECTIVE
version 133394,NOUN
conflit 133679,NOUN
acheter 133314,VERB
logique 132691,ADJECTIVE,HAS_EXAMPLE
écouter 133103,VERB,HAS_EXAMPLE
garçons 131977,NOUN,PLURAL
hôpital 130669,NOUN
marcher 133370,VERB,HAS_EXAMPLE
soudain 130384,ADJECTIVE
raconte 130041,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
interne 131242,ADJECTIVE,HAS_EXAMPLE
concept 128989,NOUN
réserve 129468,NOUN,HAS_EXAMPLE
réseaux 128569,NOUN,PLURAL
secours 128626,NOUN
retenir 128297,VERB,HAS_EXAMPLE
anglais 127237,ADJECTIVE,HAS_EXAMPLE
donnent 127897,VERB,INFLECTED_FORM,SUBJ
dessous 126744,ADVERB
esprits 125587,NOUN,PLURAL
régions 125822,NOUN,PLURAL
espèces 125750,NOUN,PLURAL
réunion 125108,NOUN
répondu 124912,PARTICIPLE
douceur 124484,NOUN
établir 124679,VERB
marchés 124120,NOUN,PLURAL
lecteur 123673,NOUN
patient 122972,ADJECTIVE
crainte 122708,NOUN
demeure 122188,NOUN
surpris 121990,ADJECTIVE
paysage 121501,NOUN
formule 121523,NOUN,HAS_EXAMPLE
restent 120282,VERB,INFLECTED_FORM,SUBJ
rivière 120168,NOUN
capital 118755,ADJECTIVE,HAS_EXAMPLE
déclara 118855,VERB,3PS,INFLECTED_FORM
espaces 118618,NOUN,PLURAL
complet 118505,ADJECTIVE
dispose 119373,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
saurait 118476,VERB,3PS,INFLECTED_FORM
tension 117603,NOUN,HAS_EXAMPLE
pouvant 117716,PARTICIPLE
devrais 117148,VERB
adresse 117187,NOUN,HAS_EXAMPLE
rupture 116605,NOUN
horizon 116046,NOUN
section 114837,NOUN
pierres 115582,NOUN,PLURAL
peuples 113431,VERB,INFLECTED_FORM,SUBJ
évident 113683,ADJECTIVE,HAS_EXAMPLE
chemise 112790,NOUN
reprend 112615,VERB,3PS,INFLECTED_FORM
parfait 112489,ADJECTIVE,HAS_EXAMPLE
troupes 112276,NOUN,PLURAL
vigueur 112402,NOUN
étoiles 111910,NOUN,PLURAL
plantes 111828,NOUN,PLURAL
classes 111169,NOUN,PLURAL
poisson 111110,NOUN,HAS_EXAMPLE
terminé 110877,PARTICIPLE
malheur 110729,NOUN,HAS_EXAMPLE
reconnu 110586,PARTICIPLE
proposé 110405,PARTICIPLE
envoyer 110200,VERB
indique 110361,ADJECTIVE
inverse 109728,ADJECTIVE
langues 109586,NOUN,PLURAL
épreuve 109311,NOUN
cabinet 108095,NOUN
préfère 108089,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
coucher 107972,NOUN,HAS_EXAMPLE
aspects 107951,NOUN,PLURAL
